Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,TR Log-Pearson 3,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2010-01-10,0,0,0,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,7.0,85400000,,,5114,Sim
1994-01-18,0,0,0,0.0,Enxurradas,1994/1995,2815.2,1994-07-07,4.58,4.37,3.88,4.17,85400000,,,5114,Sim
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,2841.0,1993-06-05,5.8,4.58,3.99,4.34,85400000,,,5114,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,2708.9,1992-05-30,3.48,3.64,3.44,3.58,85400000,,,5114,Sim
