Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais
2023-12-05,0,2,1129,4675052.97,Inundações,2023/2024,171.0,2023-09-15,12.0,10.4,8.5,87399000,108.5576923076923,449524.3240384615
2015-10-21,0,0,10684,12329778.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,201.54687794755708,232593.4352009055
2015-07-21,0,2,11351,37812850.0,Inundações,2015/2016,213.4,2015-07-24,24.0,53.01,26.48,87399000,214.12940954536882,713315.41218638
2013-09-04,0,17,1388,15311406.45,Inundações,2013/2014,224.6,2013-08-30,48.0,85.06,35.97,87399000,16.31789325182224,180007.12967317188
2012-06-15,0,0,1200,10000.0,Inundações,2012/2013,165.6,2012-09-22,8.0,8.64,7.39,87399000,138.88888888888889,1157.4074074074074
2010-01-05,0,0,0,0.0,Enxurradas,2010/2011,106.6,2010-07-25,1.71,1.8,1.9,87399000,,
